timestamp, power.draw [W]
2026/02/22 02:13:24.737, 26.16 W
2026/02/22 02:13:25.737, 26.14 W
2026/02/22 02:13:26.737, 26.12 W
2026/02/22 02:13:27.737, 26.08 W
2026/02/22 02:13:28.737, 26.24 W
2026/02/22 02:13:29.737, 26.33 W
2026/02/22 02:13:30.737, 26.44 W
2026/02/22 02:13:31.738, 26.57 W
2026/02/22 02:13:32.738, 26.56 W
2026/02/22 02:13:33.738, 26.49 W
2026/02/22 02:13:34.738, 26.49 W
2026/02/22 02:13:35.738, 26.76 W
2026/02/22 02:13:36.738, 26.30 W
2026/02/22 02:13:37.738, 26.32 W
2026/02/22 02:13:38.739, 26.40 W
2026/02/22 02:13:39.739, 26.26 W
2026/02/22 02:13:40.739, 26.29 W
2026/02/22 02:13:41.739, 26.36 W
2026/02/22 02:13:42.739, 26.39 W
2026/02/22 02:13:43.739, 26.52 W
2026/02/22 02:13:44.739, 26.51 W
2026/02/22 02:13:45.740, 26.51 W
2026/02/22 02:13:46.740, 26.95 W
2026/02/22 02:13:47.740, 26.95 W
2026/02/22 02:13:48.740, 26.92 W
2026/02/22 02:13:49.740, 26.98 W
2026/02/22 02:13:50.740, 26.94 W
2026/02/22 02:13:51.740, 26.84 W
2026/02/22 02:13:52.740, 26.58 W
2026/02/22 02:13:53.741, 26.60 W
2026/02/22 02:13:54.741, 26.47 W
2026/02/22 02:13:55.741, 26.23 W
2026/02/22 02:13:56.741, 26.13 W
2026/02/22 02:13:57.741, 26.41 W
2026/02/22 02:13:58.741, 26.57 W
2026/02/22 02:13:59.741, 27.00 W
2026/02/22 02:14:00.742, 26.84 W
2026/02/22 02:14:01.742, 26.68 W
2026/02/22 02:14:02.742, 26.52 W
2026/02/22 02:14:03.742, 26.41 W
2026/02/22 02:14:04.742, 26.60 W
2026/02/22 02:14:05.742, 26.06 W
2026/02/22 02:14:06.742, 26.11 W
2026/02/22 02:14:07.743, 26.45 W
2026/02/22 02:14:08.743, 26.33 W
2026/02/22 02:14:09.743, 26.26 W
2026/02/22 02:14:10.743, 26.56 W
2026/02/22 02:14:11.743, 26.80 W
2026/02/22 02:14:12.743, 26.84 W
2026/02/22 02:14:13.743, 26.80 W
2026/02/22 02:14:14.744, 26.62 W
2026/02/22 02:14:15.744, 26.71 W
2026/02/22 02:14:16.744, 26.73 W
2026/02/22 02:14:17.744, 26.59 W
2026/02/22 02:14:18.744, 26.78 W
2026/02/22 02:14:19.744, 26.71 W
2026/02/22 02:14:20.745, 26.66 W
2026/02/22 02:14:21.745, 26.64 W
2026/02/22 02:14:22.745, 26.65 W
2026/02/22 02:14:23.745, 26.75 W
2026/02/22 02:14:24.745, 26.64 W
2026/02/22 02:14:25.745, 26.67 W
2026/02/22 02:14:26.745, 26.51 W
2026/02/22 02:14:27.746, 26.51 W
2026/02/22 02:14:28.746, 26.59 W
2026/02/22 02:14:29.746, 26.51 W
2026/02/22 02:14:30.746, 26.38 W
2026/02/22 02:14:31.746, 26.41 W
2026/02/22 02:14:32.746, 26.29 W
2026/02/22 02:14:33.746, 26.30 W
2026/02/22 02:14:34.746, 26.69 W
2026/02/22 02:14:35.747, 26.62 W
2026/02/22 02:14:36.747, 26.47 W
2026/02/22 02:14:37.747, 26.42 W
2026/02/22 02:14:38.747, 26.43 W
2026/02/22 02:14:39.747, 26.11 W
2026/02/22 02:14:40.747, 26.20 W
2026/02/22 02:14:41.747, 26.22 W
2026/02/22 02:14:42.748, 26.37 W
2026/02/22 02:14:43.748, 26.54 W
2026/02/22 02:14:44.748, 26.53 W
2026/02/22 02:14:45.748, 26.74 W
2026/02/22 02:14:46.748, 26.60 W
2026/02/22 02:14:47.748, 26.45 W
2026/02/22 02:14:48.748, 26.46 W
2026/02/22 02:14:49.749, 26.47 W
2026/02/22 02:14:50.749, 26.52 W
2026/02/22 02:14:51.749, 26.68 W
2026/02/22 02:14:52.749, 26.71 W
2026/02/22 02:14:53.749, 26.80 W
2026/02/22 02:14:54.749, 26.58 W
2026/02/22 02:14:55.749, 26.63 W
2026/02/22 02:14:56.750, 26.71 W
2026/02/22 02:14:57.750, 26.59 W
2026/02/22 02:14:58.750, 26.30 W
2026/02/22 02:14:59.750, 26.51 W
2026/02/22 02:15:00.750, 26.45 W
2026/02/22 02:15:01.750, 26.43 W
2026/02/22 02:15:02.750, 26.71 W
2026/02/22 02:15:03.751, 26.58 W
2026/02/22 02:15:04.751, 26.43 W
2026/02/22 02:15:05.751, 26.44 W
2026/02/22 02:15:06.751, 26.33 W
2026/02/22 02:15:07.751, 26.16 W
2026/02/22 02:15:08.751, 26.20 W
2026/02/22 02:15:09.751, 26.48 W
2026/02/22 02:15:10.752, 26.51 W
2026/02/22 02:15:11.752, 26.28 W
2026/02/22 02:15:12.752, 26.31 W
2026/02/22 02:15:13.752, 26.39 W
2026/02/22 02:15:14.752, 26.40 W
2026/02/22 02:15:15.752, 26.40 W
2026/02/22 02:15:16.752, 26.47 W
2026/02/22 02:15:17.752, 26.50 W
2026/02/22 02:15:18.753, 26.41 W
2026/02/22 02:15:19.753, 26.75 W
2026/02/22 02:15:20.753, 26.56 W
2026/02/22 02:15:21.753, 26.42 W
2026/02/22 02:15:22.753, 26.57 W
2026/02/22 02:15:23.753, 26.65 W
2026/02/22 02:15:24.753, 26.66 W
2026/02/22 02:15:25.754, 26.61 W
2026/02/22 02:15:26.754, 26.62 W
2026/02/22 02:15:27.754, 26.76 W
2026/02/22 02:15:28.754, 26.79 W
2026/02/22 02:15:29.754, 26.74 W
2026/02/22 02:15:30.754, 26.75 W
2026/02/22 02:15:31.754, 26.83 W
2026/02/22 02:15:32.755, 26.89 W
2026/02/22 02:15:33.755, 26.72 W
2026/02/22 02:15:34.755, 26.98 W
2026/02/22 02:15:35.755, 26.85 W
2026/02/22 02:15:36.755, 26.58 W
2026/02/22 02:15:37.755, 26.57 W
2026/02/22 02:15:38.755, 26.88 W
2026/02/22 02:15:39.756, 26.64 W
2026/02/22 02:15:40.756, 26.73 W
2026/02/22 02:15:41.756, 26.70 W
2026/02/22 02:15:42.756, 26.83 W
2026/02/22 02:15:43.756, 26.78 W
2026/02/22 02:15:44.756, 26.75 W
2026/02/22 02:15:45.756, 26.70 W
2026/02/22 02:15:46.756, 26.59 W
2026/02/22 02:15:47.757, 26.52 W
2026/02/22 02:15:48.757, 26.44 W
2026/02/22 02:15:49.757, 26.45 W
2026/02/22 02:15:50.757, 26.47 W
2026/02/22 02:15:51.757, 26.55 W
2026/02/22 02:15:52.757, 26.63 W
2026/02/22 02:15:53.757, 26.62 W
2026/02/22 02:15:54.758, 26.74 W
2026/02/22 02:15:55.758, 26.85 W
2026/02/22 02:15:56.758, 26.74 W
2026/02/22 02:15:57.758, 26.65 W
2026/02/22 02:15:58.758, 27.10 W
2026/02/22 02:15:59.758, 27.09 W
2026/02/22 02:16:00.758, 26.65 W
2026/02/22 02:16:01.759, 26.74 W
2026/02/22 02:16:02.759, 26.47 W
2026/02/22 02:16:03.759, 26.48 W
2026/02/22 02:16:04.759, 26.54 W
2026/02/22 02:16:05.759, 26.33 W
2026/02/22 02:16:06.759, 26.57 W
2026/02/22 02:16:07.760, 26.45 W
2026/02/22 02:16:08.760, 26.24 W
2026/02/22 02:16:09.760, 26.13 W
2026/02/22 02:16:10.760, 26.33 W
2026/02/22 02:16:11.760, 26.54 W
